epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,238.635,0.88317,0.89658,0.99064,0.4353,0.81717,0.49848,0.34331,1.03444,1.57235,1.08366,0.000990365,0.000990365,0.000990365
43,243.791,0.89678,0.89345,0.99335,0.41621,0.84799,0.46631,0.32477,1.02151,1.33055,1.05265,0.000973861,0.000973861,0.000973861
44,249.048,0.92239,0.91235,1.01231,0.40766,0.80493,0.42897,0.30508,0.98379,1.6166,1.0261,0.000957358,0.000957358,0.000957358
45,254.717,0.86075,0.84728,0.97018,0.42473,0.82117,0.45162,0.31756,0.98253,1.5848,1.02632,0.000940855,0.000940855,0.000940855
46,259.935,0.90479,0.86323,0.99903,0.42931,0.84065,0.45474,0.32173,0.95351,1.4666,1.02868,0.000924352,0.000924352,0.000924352
47,265.589,0.86475,0.83727,0.985,0.438,0.75993,0.45977,0.32689,0.97679,1.3092,1.03444,0.000907848,0.000907848,0.000907848
48,271.287,0.88224,0.85348,0.97385,0.406,0.82191,0.444,0.32283,0.96,1.5409,1.02622,0.000891345,0.000891345,0.000891345
49,277.004,0.8738,0.78491,0.98131,0.44754,0.81434,0.49309,0.35654,0.96604,1.32254,1.00941,0.000874842,0.000874842,0.000874842
50,282.708,0.87512,0.80341,0.98194,0.42999,0.80964,0.43631,0.29785,1.01865,1.33715,1.045,0.000858338,0.000858338,0.000858338
51,288.354,0.89567,0.8044,0.99705,0.43898,0.80143,0.48646,0.33555,1.01312,1.4684,1.04268,0.000841835,0.000841835,0.000841835
52,294.155,0.85277,0.77607,0.97918,0.45839,0.77454,0.47022,0.33775,0.92585,1.36083,1.00966,0.000825332,0.000825332,0.000825332
53,299.822,0.86524,0.79306,0.97774,0.4168,0.79792,0.44505,0.31703,1.0152,1.54228,1.06814,0.000808828,0.000808828,0.000808828
54,305.521,0.86318,0.77332,0.97959,0.44022,0.79225,0.45745,0.32094,1.00402,1.52334,1.06106,0.000792325,0.000792325,0.000792325
55,311.207,0.82454,0.75176,0.97359,0.38457,0.78565,0.41761,0.2974,0.94351,1.67309,1.03574,0.000775822,0.000775822,0.000775822
56,316.901,0.84668,0.74505,0.97202,0.41,0.69678,0.45234,0.31983,0.95895,1.93221,1.03801,0.000759318,0.000759318,0.000759318
57,322.676,0.82182,0.76045,0.9608,0.35319,0.78504,0.3969,0.27537,0.96568,1.62017,1.02992,0.000742815,0.000742815,0.000742815
58,328.152,0.82478,0.71773,0.96607,0.37818,0.80101,0.41844,0.2953,0.96299,1.72634,1.02563,0.000726312,0.000726312,0.000726312
59,333.662,0.82302,0.72107,0.97759,0.42298,0.79431,0.45548,0.31161,1.03789,1.57566,1.07165,0.000709809,0.000709809,0.000709809
60,339.28,0.81958,0.67429,0.96184,0.43225,0.76847,0.49849,0.35408,0.96073,1.82593,1.01889,0.000693305,0.000693305,0.000693305
61,344.914,0.82438,0.68442,0.97233,0.41238,0.79594,0.45153,0.3214,0.93471,1.73449,1.01563,0.000676802,0.000676802,0.000676802
62,350.646,0.82587,0.67883,0.97183,0.44324,0.75369,0.52884,0.37734,0.96372,1.42558,1.03581,0.000660299,0.000660299,0.000660299
63,356.304,0.81363,0.70752,0.96342,0.42654,0.80816,0.47912,0.33686,0.9866,1.51396,1.04763,0.000643795,0.000643795,0.000643795
64,361.927,0.81057,0.65518,0.96038,0.50084,0.7623,0.55994,0.39329,1.01503,1.4357,1.05601,0.000627292,0.000627292,0.000627292
65,367.601,0.80912,0.69007,0.96472,0.43692,0.74698,0.51566,0.36209,0.9441,1.64872,1.03146,0.000610789,0.000610789,0.000610789
66,372.911,0.78688,0.64008,0.95368,0.43777,0.78846,0.49041,0.3441,0.97539,1.43159,1.02612,0.000594286,0.000594286,0.000594286
67,378.515,0.79983,0.64197,0.95431,0.41502,0.78769,0.48017,0.34305,0.95487,1.71771,1.01267,0.000577782,0.000577782,0.000577782
68,384.225,0.80349,0.62766,0.96232,0.44327,0.76031,0.48487,0.3436,0.94703,1.55318,1.01129,0.000561279,0.000561279,0.000561279
69,389.846,0.79734,0.63847,0.95378,0.43902,0.7786,0.49016,0.35311,0.94288,1.45233,1.01713,0.000544776,0.000544776,0.000544776
70,395.493,0.80665,0.62092,0.95581,0.47644,0.75305,0.55512,0.40929,0.90792,1.40521,1.00402,0.000528272,0.000528272,0.000528272
